age,annual_income,credit_score,employment_years,loan_amount,dti_ratio,num_credit_lines,previous_default,loan_purpose,home_ownership,approved
59,20000,699,30,44661,0.51,3,0,business,rent,1
65,35998,612,17,13842,0.1,11,0,debt_consolidation,rent,1
35,56932,697,13,38491,0.34,14,0,other,rent,0
63,62334,651,10,45372,0.39,5,0,education,rent,0
49,31744,705,1,25043,0.5,11,0,debt_consolidation,mortgage,0
56,120291,726,20,38971,0.44,14,0,other,rent,1
33,97909,776,0,3976,0.4,7,0,business,rent,1
52,75052,678,10,8426,0.77,11,0,other,mortgage,1
27,61800,811,1,23887,0.19,10,0,other,own,1
42,54694,752,15,27710,0.17,12,0,business,own,1
48,36202,623,21,42387,0.59,4,1,education,own,0
22,61937,850,2,48470,0.11,4,1,other,own,0
62,66443,706,19,7486,0.41,7,0,education,mortgage,1
65,28955,613,0,40258,0.41,5,0,other,rent,0
26,68354,812,20,47882,0.28,1,0,other,rent,1
48,56118,846,19,23623,0.75,11,0,business,mortgage,1
48,20000,677,7,24806,0.26,10,0,debt_consolidation,rent,0
64,38490,639,18,6973,0.27,13,0,debt_consolidation,rent,1
64,49659,666,25,47215,0.23,12,0,medical,rent,0
40,107192,737,0,49626,0.16,13,0,business,rent,0
50,73913,782,29,46939,0.32,2,0,medical,rent,1
31,26612,725,28,30157,0.56,6,0,other,rent,1
48,72150,688,25,6521,0.61,13,0,business,rent,1
45,21317,799,4,13891,0.66,12,0,medical,rent,0
59,87067,654,29,17795,0.2,9,0,home_improvement,rent,1
53,48221,762,30,23474,0.08,7,1,debt_consolidation,mortgage,1
21,57659,656,0,27507,0.78,4,1,debt_consolidation,mortgage,0
47,93144,714,10,11687,0.06,12,0,home_improvement,own,1
33,27820,670,20,34014,0.77,12,0,education,mortgage,0
61,25072,675,8,12009,0.67,13,0,home_improvement,mortgage,0
23,45410,649,4,24226,0.73,2,0,debt_consolidation,mortgage,0
59,85959,787,1,23948,0.34,4,0,business,rent,1
26,22016,621,12,35939,0.2,14,0,medical,mortgage,0
28,20000,620,30,45291,0.5,5,0,debt_consolidation,mortgage,1
47,48721,849,17,49296,0.61,2,0,home_improvement,rent,1
29,73793,758,25,49044,0.15,1,0,business,mortgage,1
57,90006,489,24,41225,0.65,4,0,debt_consolidation,mortgage,0
53,48420,634,11,23102,0.21,11,1,home_improvement,rent,0
62,49714,535,13,35828,0.42,13,0,debt_consolidation,own,0
64,88847,603,4,37102,0.69,6,1,home_improvement,rent,0
44,20000,428,26,46855,0.2,1,0,other,rent,0
35,50286,669,23,34712,0.23,1,1,home_improvement,rent,0
52,64760,588,9,27823,0.1,9,0,debt_consolidation,own,1
52,71230,684,19,6361,0.16,5,0,business,mortgage,1
44,47254,549,1,26838,0.16,2,0,debt_consolidation,mortgage,0
61,60861,686,3,15638,0.2,11,0,debt_consolidation,own,1
32,20000,646,11,39052,0.26,14,1,other,rent,0
59,43543,800,10,24265,0.66,2,0,business,rent,1
22,71337,792,3,25751,0.74,4,0,other,mortgage,1
23,35442,742,10,43012,0.35,11,0,debt_consolidation,own,0
57,61474,653,8,11916,0.15,2,1,other,mortgage,0
37,71171,838,9,10509,0.22,4,0,medical,rent,1
22,51436,555,26,46532,0.6,11,0,medical,own,0
22,64261,567,5,32102,0.56,13,0,medical,rent,0
48,35931,673,14,48659,0.78,6,0,home_improvement,rent,1
43,54834,850,9,25324,0.06,7,0,education,mortgage,1
57,75255,663,30,15003,0.61,6,0,other,own,1
52,63924,665,21,28943,0.43,4,0,debt_consolidation,rent,1
53,45336,564,20,43634,0.73,10,0,education,mortgage,0
21,65605,755,5,34101,0.48,3,0,other,own,1
39,77865,756,0,30943,0.39,4,0,medical,rent,1
22,20000,743,28,10456,0.55,12,0,business,mortgage,0
64,88976,629,20,12369,0.68,5,0,medical,rent,1
46,51593,623,27,20329,0.26,4,0,debt_consolidation,mortgage,1
52,70637,576,21,14218,0.13,3,0,education,mortgage,1
26,89931,686,23,22164,0.37,1,0,education,rent,1
52,25708,593,19,38424,0.21,3,0,other,own,1
24,42263,585,29,13410,0.37,11,0,home_improvement,rent,1
31,52786,646,20,30730,0.79,5,0,business,rent,0
37,40406,640,3,3665,0.48,13,0,medical,mortgage,0
58,103373,636,22,40899,0.57,14,0,business,rent,0
44,38580,717,25,38703,0.56,6,0,debt_consolidation,rent,1
25,46111,686,21,1415,0.67,12,0,home_improvement,own,1
54,65109,656,13,34475,0.76,14,0,medical,own,0
26,29946,694,19,25172,0.54,13,0,debt_consolidation,mortgage,0
42,50107,600,21,3684,0.41,4,0,business,mortgage,1
31,67936,688,28,8494,0.29,1,1,home_improvement,mortgage,1
36,51678,692,19,20750,0.32,10,0,medical,mortgage,1
53,57665,559,27,20887,0.3,13,0,business,rent,0
29,46766,759,7,21826,0.29,7,0,medical,own,1
26,22138,609,10,7180,0.57,13,0,home_improvement,rent,0
36,68039,687,14,47779,0.49,9,0,home_improvement,mortgage,0
49,103873,773,30,3559,0.2,13,0,business,own,1
23,60460,754,18,41905,0.78,6,0,medical,mortgage,1
40,65631,682,7,4971,0.37,14,0,education,mortgage,1
56,77318,651,12,36725,0.47,6,0,debt_consolidation,mortgage,1
39,28266,755,17,19113,0.58,9,1,home_improvement,own,0
46,102562,733,21,43861,0.51,4,0,medical,own,1
23,65058,630,23,13951,0.28,5,0,business,own,1
39,100796,616,16,26617,0.65,5,0,business,rent,1
40,41674,514,5,33794,0.13,14,0,home_improvement,mortgage,0
52,105451,692,24,3583,0.48,12,0,other,mortgage,1
27,79378,673,14,26628,0.25,5,1,home_improvement,mortgage,0
61,73826,770,12,27250,0.51,8,0,other,own,1
53,65850,708,25,4055,0.21,11,0,education,rent,1
60,53786,786,25,7801,0.63,1,0,business,mortgage,1
59,90013,624,17,35426,0.22,10,0,medical,rent,1
38,63508,771,10,37719,0.72,11,0,other,mortgage,0
60,20000,637,12,41067,0.7,10,0,debt_consolidation,mortgage,0
21,32070,742,0,24840,0.32,11,1,debt_consolidation,rent,0
31,55353,563,17,10933,0.34,3,0,education,mortgage,1
48,67749,698,4,32979,0.58,8,1,other,mortgage,0
45,58585,521,5,46047,0.12,11,0,other,own,0
43,90474,658,0,5137,0.11,9,0,medical,own,1
51,20000,715,6,12423,0.15,2,0,debt_consolidation,rent,1
50,63589,638,26,25315,0.47,12,0,debt_consolidation,rent,1
62,20000,595,3,35482,0.16,4,0,medical,mortgage,0
55,78992,747,8,45156,0.26,14,0,other,rent,0
27,57638,671,14,37115,0.54,8,1,medical,mortgage,0
36,70490,640,30,35754,0.06,5,0,home_improvement,own,1
46,38402,683,30,37312,0.19,1,0,debt_consolidation,mortgage,1
22,91986,850,5,24363,0.75,6,1,other,mortgage,1
21,86043,772,24,18085,0.55,14,1,debt_consolidation,mortgage,0
32,74588,773,16,43414,0.28,9,0,education,own,1
25,56762,714,19,37554,0.08,9,0,home_improvement,own,1
57,74496,693,17,15415,0.49,11,0,home_improvement,rent,1
52,42327,488,21,48052,0.22,1,0,debt_consolidation,rent,0
29,81388,625,30,22398,0.77,4,0,business,own,1
61,101237,641,3,33691,0.57,1,0,business,mortgage,0
55,86765,530,8,7659,0.78,7,1,medical,rent,0
39,41759,587,13,21644,0.69,3,0,home_improvement,own,0
36,69035,521,2,4044,0.41,2,0,debt_consolidation,own,1
23,27671,676,0,4883,0.55,14,0,other,mortgage,0
40,74309,745,26,32712,0.66,8,0,debt_consolidation,rent,1
44,71265,768,28,20324,0.48,9,0,debt_consolidation,rent,1
53,20000,713,10,49119,0.1,7,0,other,mortgage,1
44,30955,602,0,22545,0.4,6,0,other,rent,0
31,52921,525,11,19204,0.15,10,0,education,mortgage,0
28,52478,539,24,24268,0.59,13,0,business,mortgage,0
56,29763,578,8,16762,0.56,11,0,education,rent,0
58,69724,608,4,29371,0.79,6,0,debt_consolidation,own,0
60,66286,667,14,19847,0.52,9,0,debt_consolidation,mortgage,1
40,55143,598,17,37139,0.65,5,0,home_improvement,rent,0
55,41105,707,8,42295,0.25,5,0,home_improvement,rent,0
45,86217,661,12,11116,0.31,2,0,business,own,1
55,101385,680,27,31125,0.74,6,0,other,own,1
45,47910,771,12,32404,0.62,14,0,medical,own,0
49,44695,585,23,29436,0.54,12,1,debt_consolidation,mortgage,0
38,72280,713,12,3788,0.24,12,0,home_improvement,mortgage,1
38,51049,678,26,33149,0.57,12,0,business,rent,0
22,56515,653,9,5125,0.72,6,0,education,rent,1
55,78491,750,9,4606,0.22,6,0,debt_consolidation,rent,1
36,20000,750,21,42534,0.58,4,0,medical,mortgage,1
61,92957,604,6,33988,0.35,11,0,business,rent,0
56,61817,665,27,22306,0.14,7,0,other,own,1
53,49712,702,21,43973,0.62,9,0,medical,mortgage,0
24,57769,658,30,11833,0.18,1,0,debt_consolidation,own,1
53,59060,726,30,22997,0.24,3,1,business,rent,1
34,20000,702,4,34521,0.64,10,0,other,own,0
41,97373,826,19,30948,0.61,9,0,home_improvement,mortgage,1
40,61033,557,6,47643,0.24,14,0,medical,mortgage,0
28,71075,670,19,8488,0.76,5,0,education,mortgage,1
27,83788,607,9,40974,0.21,6,0,education,rent,1
23,34470,728,9,43448,0.8,8,0,medical,rent,0
37,71836,550,25,8938,0.6,9,0,debt_consolidation,mortgage,1
53,53308,707,24,39726,0.34,8,0,debt_consolidation,mortgage,1
32,81169,629,20,16770,0.15,3,0,debt_consolidation,rent,1
42,20000,621,23,7635,0.29,10,0,education,rent,1
42,57522,564,27,9629,0.2,1,0,education,mortgage,1
50,44929,642,12,32668,0.52,11,0,home_improvement,own,0
58,70806,766,14,22487,0.32,13,0,debt_consolidation,rent,1
58,71751,677,27,13869,0.27,12,0,education,own,1
65,42309,730,27,10219,0.62,13,1,education,mortgage,0
28,42195,813,5,41797,0.22,5,0,debt_consolidation,mortgage,1
47,57233,701,19,17673,0.49,7,0,debt_consolidation,own,1
47,37583,635,11,17763,0.2,2,0,education,mortgage,1
54,81049,717,18,45933,0.59,1,0,other,rent,0
41,50769,636,10,12043,0.52,4,0,medical,own,1
50,20000,639,5,10570,0.65,3,1,education,own,0
53,50629,558,0,7886,0.1,4,1,home_improvement,own,0
48,34036,754,1,2958,0.21,1,1,business,mortgage,1
53,20000,649,22,44087,0.17,2,0,other,rent,1
25,29064,694,14,25641,0.19,1,0,debt_consolidation,rent,1
39,62735,597,3,3183,0.13,3,1,home_improvement,mortgage,0
24,93216,714,4,30070,0.47,4,1,medical,rent,0
55,67829,619,14,4774,0.5,13,1,business,rent,0
37,44837,668,10,30018,0.68,1,1,other,own,0
64,71397,750,9,21303,0.36,6,0,education,mortgage,1
48,48522,743,16,15272,0.45,2,0,debt_consolidation,own,1
50,42634,678,1,23586,0.79,10,0,education,own,0
49,31140,538,19,34545,0.45,12,0,home_improvement,own,0
26,20000,850,23,3566,0.48,13,0,debt_consolidation,mortgage,1
55,50251,819,9,43863,0.8,11,0,education,mortgage,0
61,63951,737,19,11953,0.8,5,0,debt_consolidation,rent,1
57,57584,619,29,32696,0.37,8,0,home_improvement,mortgage,1
44,49600,670,2,8404,0.53,12,0,education,mortgage,0
49,36356,636,18,33846,0.41,13,0,business,mortgage,0
51,75206,781,27,2581,0.59,4,0,medical,mortgage,1
55,27071,701,4,15066,0.75,5,0,education,own,0
53,79400,617,2,41735,0.28,9,0,debt_consolidation,mortgage,0
41,34944,642,7,8839,0.66,2,0,other,mortgage,1
52,41189,769,4,35930,0.54,12,0,education,rent,0
43,23330,808,27,23129,0.26,12,0,debt_consolidation,rent,1
53,47464,802,29,31845,0.65,2,0,other,rent,1
23,84382,740,11,14913,0.37,6,0,home_improvement,mortgage,1
38,72890,659,13,1964,0.14,6,0,other,mortgage,1
45,84460,420,6,11739,0.8,3,0,medical,own,0
62,73053,703,10,3673,0.37,12,0,debt_consolidation,mortgage,1
51,32408,679,7,39061,0.46,9,0,education,mortgage,0
23,51730,691,4,32171,0.66,13,1,other,mortgage,0
60,40495,684,7,24643,0.77,1,0,home_improvement,rent,0
44,93264,573,11,35486,0.7,12,0,other,own,0
52,30080,724,14,11624,0.44,3,0,business,mortgage,1
42,82342,730,18,2228,0.46,8,0,education,rent,1
43,82323,734,15,44370,0.26,8,0,medical,rent,1
22,105740,755,30,35608,0.4,4,0,home_improvement,own,1
47,49757,728,13,17920,0.76,8,1,education,mortgage,0
62,77808,647,27,20689,0.6,11,0,debt_consolidation,own,1
22,117041,674,6,8124,0.06,10,0,debt_consolidation,own,1
46,44558,687,7,43124,0.14,13,0,debt_consolidation,own,0
37,21623,688,6,32339,0.74,8,0,education,rent,0
60,20000,759,29,8587,0.69,1,0,medical,mortgage,1
53,77817,731,17,4527,0.41,3,0,debt_consolidation,rent,1
29,20000,846,23,34067,0.51,1,1,education,own,0
63,50692,850,5,46358,0.27,2,1,education,rent,0
59,70932,686,25,4963,0.64,4,0,medical,own,1
49,64629,373,18,38455,0.5,3,1,home_improvement,mortgage,0
62,70636,778,3,37939,0.57,13,0,home_improvement,mortgage,0
46,65557,636,22,21243,0.33,11,1,education,rent,0
55,91971,615,2,33693,0.37,6,0,home_improvement,rent,1
45,36192,648,16,46835,0.21,12,0,business,rent,0
44,43075,644,21,4695,0.76,12,0,medical,rent,1
33,40683,728,18,10112,0.76,5,0,education,mortgage,1
27,80754,555,26,33059,0.66,5,1,home_improvement,own,0
56,82509,593,14,8242,0.75,10,0,other,mortgage,1
65,71280,707,25,10941,0.55,7,1,home_improvement,mortgage,1
40,89587,729,5,21001,0.23,7,0,medical,rent,1
21,30548,731,25,3700,0.62,9,0,other,mortgage,1
28,101680,617,11,19085,0.29,8,0,debt_consolidation,mortgage,1
36,98080,601,18,14339,0.38,3,0,home_improvement,own,1
34,78390,639,5,16834,0.26,2,0,other,mortgage,1
32,104544,699,10,12084,0.37,1,0,medical,mortgage,1
43,20000,798,19,30543,0.56,10,0,other,own,1
35,46888,516,28,36930,0.13,6,0,debt_consolidation,mortgage,0
48,41617,662,19,42074,0.13,13,0,other,mortgage,0
54,78036,573,9,32902,0.56,13,0,education,own,0
22,33746,547,25,30044,0.63,4,0,debt_consolidation,rent,0
52,78937,757,15,14137,0.46,3,0,home_improvement,mortgage,1
43,94263,723,26,35905,0.19,11,1,education,rent,0
42,77380,715,17,6948,0.37,11,0,education,own,1
45,67093,753,13,48461,0.62,2,0,debt_consolidation,own,1
42,35303,641,3,33567,0.56,2,0,education,own,0
42,38828,645,26,32189,0.13,11,1,debt_consolidation,mortgage,0
62,91240,850,11,49867,0.78,4,0,debt_consolidation,own,1
26,79483,660,19,49978,0.22,1,0,other,rent,1
35,59024,738,26,32871,0.22,6,0,debt_consolidation,mortgage,1
63,49552,680,22,19189,0.39,10,0,medical,mortgage,1
57,20000,532,20,23797,0.3,11,0,home_improvement,mortgage,0
53,33228,516,7,4569,0.79,5,0,education,rent,0
28,107785,633,6,27012,0.11,10,0,business,mortgage,1
64,27988,764,25,13977,0.28,9,0,other,mortgage,1
64,64736,743,8,33049,0.34,2,0,home_improvement,rent,1
25,85186,753,23,22694,0.42,9,0,business,mortgage,1
59,28626,601,30,45388,0.06,9,0,debt_consolidation,rent,1
24,64617,809,24,34224,0.11,10,0,education,own,1
26,83447,602,16,17832,0.24,9,0,other,mortgage,1
65,60312,697,9,33835,0.47,10,0,home_improvement,own,0
52,131710,679,28,2862,0.63,10,0,business,mortgage,1
50,20000,666,27,19186,0.56,4,0,business,rent,1
55,86468,787,2,30545,0.48,5,0,business,mortgage,1
60,55679,623,20,46522,0.35,8,0,home_improvement,rent,1
36,79298,572,24,45391,0.7,14,1,medical,own,0
33,71032,681,7,41322,0.39,8,0,debt_consolidation,rent,1
62,41671,648,13,9319,0.27,1,0,education,own,1
50,65724,850,25,39663,0.52,10,0,business,mortgage,1
39,20000,734,6,46788,0.57,1,1,other,mortgage,0
37,75081,647,15,29401,0.35,10,0,home_improvement,own,1
39,67453,595,17,33228,0.07,6,0,other,rent,1
48,75966,529,30,13202,0.12,7,0,business,own,1
46,86452,597,10,39283,0.68,2,0,home_improvement,mortgage,0
57,69190,689,5,21122,0.09,2,0,other,rent,1
46,63702,794,19,34135,0.49,5,0,medical,own,1
43,37973,769,20,23585,0.19,9,1,business,own,0
29,42194,698,13,49408,0.22,5,1,business,rent,0
32,89668,654,20,49229,0.26,8,1,education,rent,0
21,95908,701,12,15897,0.08,8,0,home_improvement,rent,1
21,54047,638,3,22291,0.18,5,0,home_improvement,rent,1
54,61150,817,19,33826,0.54,8,0,medical,rent,1
52,37384,664,30,9294,0.42,8,0,business,own,1
45,89318,673,19,5507,0.65,5,0,education,rent,1
60,76635,502,10,29854,0.1,5,0,other,rent,1
65,108530,664,17,48520,0.72,4,1,debt_consolidation,rent,0
21,38041,746,0,16475,0.8,1,0,education,mortgage,1
36,50549,594,11,45905,0.06,9,0,other,mortgage,0
59,65786,619,17,15334,0.78,2,0,education,mortgage,1
25,76162,743,6,19830,0.23,1,0,other,own,1
42,54608,561,11,48882,0.57,6,0,education,mortgage,0
49,38175,764,0,49803,0.27,5,0,education,rent,0
23,82035,637,21,28278,0.44,11,0,business,rent,1
32,78028,648,3,19749,0.43,1,0,education,rent,1
46,37093,590,17,31511,0.32,7,0,other,rent,0
36,93886,710,14,38469,0.59,7,0,other,rent,1
57,89254,850,30,41185,0.5,3,0,home_improvement,own,1
42,63357,742,2,26072,0.43,8,0,other,rent,1
49,61989,610,6,43326,0.79,6,0,home_improvement,mortgage,0
34,73851,770,5,32146,0.76,4,0,other,mortgage,1
48,38457,654,14,12057,0.77,10,0,education,mortgage,0
25,60750,789,14,27427,0.71,10,0,other,rent,1
50,20000,744,5,42982,0.24,10,0,home_improvement,mortgage,1
25,81911,444,7,45090,0.31,12,0,business,mortgage,0
32,20962,599,7,49654,0.22,13,0,debt_consolidation,mortgage,0
36,97585,755,21,12036,0.79,3,0,education,own,1
46,51746,692,0,15060,0.16,1,0,other,mortgage,1
46,54708,598,25,14607,0.32,13,0,home_improvement,rent,1
41,44306,629,12,36102,0.2,2,1,home_improvement,rent,0
59,52799,527,22,25074,0.22,2,0,business,rent,1
56,95463,672,23,49864,0.24,13,0,other,mortgage,0
53,20000,850,20,20773,0.53,11,0,business,rent,1
50,91924,744,12,33970,0.11,5,0,debt_consolidation,rent,1
57,68450,850,10,33998,0.48,4,0,other,mortgage,1
43,29824,750,3,29210,0.66,2,1,medical,rent,0
30,33117,762,6,45088,0.62,11,0,medical,mortgage,0
25,101909,837,27,12683,0.16,9,0,other,mortgage,1
56,36362,710,11,3962,0.74,7,1,medical,rent,0
54,31166,665,26,36095,0.63,8,0,debt_consolidation,rent,1
51,88432,762,12,31000,0.05,8,0,education,own,1
30,68463,796,21,30137,0.6,2,0,medical,mortgage,1
39,36551,641,11,36552,0.6,5,0,medical,mortgage,0
52,65415,622,15,47253,0.42,3,0,other,rent,0
21,34356,691,5,34571,0.08,10,0,home_improvement,rent,0
25,87520,746,13,46321,0.48,9,1,home_improvement,rent,0
